COMPLEX_CATEGORY,COMPLEX_NAME,FACILITY_TYPE,FACILITY_NAME,ADDRESS,TYP_OF_ORG,ORG,STEWARD,OPER,COMMUNITY,SECTOR,POPULATION,OCCUPIED_DWELLINGS,PERSONS_PER_UNIT,Area (km²),Population Density (people/km²)
Arenas (except Leisure Centre arenas),Ernie Starr Arena,Arena,Ice,4808 14 AV SE,Municipal,Recreation,Recreation,Recreation,Forest Lawn,EAST,"7,656","1,806",4.24,2.1,"3,565"
Arenas (except Leisure Centre arenas),Ernie Starr Arena,Arena,Ice,4808 14 AV SE,Municipal,Recreation,Recreation,Recreation,Forest Lawn,EAST,"8,534","2,898",2.94,2.1,"3,565"
Arenas (except Leisure Centre arenas),Ernie Starr Arena,Arena,Ice,4808 14 AV SE,Municipal,Recreation,Recreation,Recreation,Forest Lawn,EAST,"8,242","2,976",2.77,2.1,"3,565"
Arenas (except Leisure Centre arenas),Ernie Starr Arena,Arena,Ice,4808 14 AV SE,Municipal,Recreation,Recreation,Recreation,Forest Lawn,EAST,"8,035","2,165",3.71,2.1,"3,565"
Arenas (except Leisure Centre arenas),Ernie Starr Arena,Arena,Ice,4808 14 AV SE,Municipal,Recreation,Recreation,Recreation,Forest Lawn,EAST,"8,037","3,146",2.55,2.1,"3,565"
Arenas (except Leisure Centre arenas),Ernie Starr Arena,Arena,Ice,4808 14 AV SE,Municipal,Recreation,Recreation,Recreation,Forest Lawn,EAST,"7,676","3,069",2.5,2.1,"3,565"
Arenas (except Leisure Centre arenas),Ernie Starr Arena,Arena,Ice,4808 14 AV SE,Municipal,Recreation,Recreation,Recreation,Forest Lawn,EAST,"8,179","3,116",2.62,2.1,"3,565"
Arenas (except Leisure Centre arenas),Ernie Starr Arena,Arena,Ice,4808 14 AV SE,Municipal,Recreation,Recreation,Recreation,Forest Lawn,EAST,"7,535","2,872",2.62,2.1,"3,565"
Arenas (except Leisure Centre arenas),Ernie Starr Arena,Arena,Ice,4808 14 AV SE,Municipal,Recreation,Recreation,Recreation,Forest Lawn,EAST,"8,238","2,941",2.8,2.1,"3,565"
Arenas (except Leisure Centre arenas),Ernie Starr Arena,Arena,Ice,4808 14 AV SE,Municipal,Recreation,Recreation,Recreation,Forest Lawn,EAST,"8,970","2,897",3.1,2.1,"3,565"
Arenas (except Leisure Centre arenas),Ernie Starr Arena,Arena,Ice,4808 14 AV SE,Municipal,Recreation,Recreation,Recreation,Forest Lawn,EAST,"8,126","2,128",3.82,2.1,"3,565"
Arenas (except Leisure Centre arenas),Ernie Starr Arena,Arena,Ice,4808 14 AV SE,Municipal,Recreation,Recreation,Recreation,Forest Lawn,EAST,"7,313","2,964",2.47,2.1,"3,565"
Arenas (except Leisure Centre arenas),Ernie Starr Arena,Arena,Ice,4808 14 AV SE,Municipal,Recreation,Recreation,Recreation,Forest Lawn,EAST,"7,772","3,009",2.58,2.1,"3,565"
Arenas (except Leisure Centre arenas),Ernie Starr Arena,Arena,Ice,4808 14 AV SE,Municipal,Recreation,Recreation,Recreation,Forest Lawn,EAST,"8,374","2,957",2.83,2.1,"3,565"
Arenas (except Leisure Centre arenas),Ernie Starr Arena,Arena,Ice,4808 14 AV SE,Municipal,Recreation,Recreation,Recreation,Forest Lawn,EAST,"7,882","2,774",2.84,2.1,"3,565"
Arenas (except Leisure Centre arenas),Ernie Starr Arena,Arena,Ice,4808 14 AV SE,Municipal,Recreation,Recreation,Recreation,Forest Lawn,EAST,"8,002","2,996",2.67,2.1,"3,565"
Arenas (except Leisure Centre arenas),Ernie Starr Arena,Arena,Ice,4808 14 AV SE,Municipal,Recreation,Recreation,Recreation,Forest Lawn,EAST,"8,193","3,068",2.67,2.1,"3,565"
Arenas (except Leisure Centre arenas),Ernie Starr Arena,Arena,Ice,4808 14 AV SE,Municipal,Recreation,Recreation,Recreation,Forest Lawn,EAST,"7,857","3,092",2.54,2.1,"3,565"
Arenas (except Leisure Centre arenas),Ernie Starr Arena,Arena,Ice,4808 14 AV SE,Municipal,Recreation,Recreation,Recreation,Forest Lawn,EAST,"8,064","2,912",2.77,2.1,"3,565"
Arenas (except Leisure Centre arenas),Ernie Starr Arena,Arena,Ice,4808 14 AV SE,Municipal,Recreation,Recreation,Recreation,Forest Lawn,EAST,"7,487","3,046",2.46,2.1,"3,565"
Arenas (except Leisure Centre arenas),Ernie Starr Arena,Arena,Ice,4808 14 AV SE,Municipal,Recreation,Recreation,Recreation,Forest Lawn,EAST,"7,711","2,991",2.58,2.1,"3,565"
Arenas (except Leisure Centre arenas),Ernie Starr Arena,Arena,Ice,4808 14 AV SE,Municipal,Recreation,Recreation,Recreation,Forest Lawn,EAST,"7,872","3,060",2.57,2.1,"3,565"
Arenas (except Leisure Centre arenas),Ernie Starr Arena,Arena,Ice,4808 14 AV SE,Municipal,Recreation,Recreation,Recreation,Forest Lawn,EAST,"8,171","2,923",2.8,2.1,"3,565"
Arenas (except Leisure Centre arenas),Ernie Starr Arena,Arena,Ice,4808 14 AV SE,Municipal,Recreation,Recreation,Recreation,Forest Lawn,EAST,"7,912","2,985",2.65,2.1,"3,565"
Arenas (except Leisure Centre arenas),Ernie Starr Arena,Arena,Ice,4808 14 AV SE,Municipal,Recreation,Recreation,Recreation,Forest Lawn,EAST,"8,070","1,968",4.1,2.1,"3,565"
Arenas (except Leisure Centre arenas),Ernie Starr Arena,Arena,Ice,4808 14 AV SE,Municipal,Recreation,Recreation,Recreation,Forest Lawn,EAST,"7,807","2,249",3.47,2.1,"3,565"
Arenas (except Leisure Centre arenas),Ernie Starr Arena,Arena,Ice,4808 14 AV SE,Municipal,Recreation,Recreation,Recreation,Forest Lawn,EAST,"8,185","2,945",2.78,2.1,"3,565"
Arenas (except Leisure Centre arenas),Ernie Starr Arena,Arena,Ice,4808 14 AV SE,Municipal,Recreation,Recreation,Recreation,Forest Lawn,EAST,"7,934","2,897",2.74,2.1,"3,565"
Arenas (except Leisure Centre arenas),Ernie Starr Arena,Arena,Ice,4808 14 AV SE,Municipal,Recreation,Recreation,Recreation,Forest Lawn,EAST,"9,088","2,951",3.08,2.1,"3,565"
Arenas (except Leisure Centre arenas),Ernie Starr Arena,Arena,Ice,4808 14 AV SE,Municipal,Recreation,Recreation,Recreation,Forest Lawn,EAST,"7,870","2,192",3.59,2.1,"3,565"
Arenas (except Leisure Centre arenas),Ernie Starr Arena,Arena,Ice,4808 14 AV SE,Municipal,Recreation,Recreation,Recreation,Forest Lawn,EAST,"7,984","2,777",2.88,2.1,"3,565"
Golf Courses,Shaganappi Point Golf Course,Golf Course - Municipal,18 Hole Course,1200 26 ST SW,Municipal,Parks,Recreation,Parks,Shaganappi,CENTRE,"1,530",719,2.13,1.4,"2,700"
Golf Courses,Shaganappi Point Golf Course,Golf Course - Municipal,18 Hole Course,1200 26 ST SW,Municipal,Parks,Recreation,Parks,Shaganappi,CENTRE,"1,726",799,2.16,1.4,"2,700"
